字母	英语中出现的频率	权
a	8.17%	        8
b	1.49%	        1
c	2.78%	        3
d	4.25%	        4
e	12.70%	        13
f	2.23%	        2
g	2.02%	        2
h	6.09%	        6
i	6.97%	        7
j	0.15%	        1
k	0.77%	        1
l	4.03%	        4
m	2.41%	        2
n	6.75%	        6
o	7.51%	        7
p	1.93%	        2
q	0.10%	        1
r	5.99%	        6
s	6.33%	        6
t	9.06%	        9
u	2.76%	        2
v	0.98%	        1
w	2.36%	        2
x	0.15%	        1
y	1.97%	        2
z	0.07%	        1
		            100
